Lead ID,Vestigingsnaam,Organisatienaam,Bron organisatienaam,KVK-nummer,Domein,Website,Vestigingsplaats,Postcode,Adres,Aantal medewerkers,Medewerkersklasse,Bron medewerkers,Bronniveau medewerkers,Peildatum medewerkers,Actualiteit medewerkers,Meetniveau medewerkers,Eenheid medewerkers,Status handmatige beoordeling,Bronnen handmatige beoordeling,Segment,Doelgroepstatus,Algemeen e-mailadres,Telefoonnummer,Bron contactgegevens,Resultaat vergelijking acquisitielijst,Matchwijze acquisitielijst,Datum verzameld,Opmerkingen
L0001,Intervet International B.V. (MSD Animal Health),Onbekend,Niet gevonden,16028015,msd-animal-health.nl,https://www.msd-animal-health.nl,Boxmeer,5831 AN,Wim de Körverstraat 35,Ongeveer 2.000,Niet gevonden,https://msd.nl/boxmeer/,A,Onbekend,Actueel/live,Vestiging,Werkzame personen,niet nodig,,50+,nog niet te bepalen,Niet gevonden,+31 485 587600,https://www.msd-animal-health.nl/contactgegevens/,nog niet gecontroleerd,,15-09-2026,"Segment toegekend op basis van een actuele locatiepagina zonder expliciete peildatum. De bron noemt ongeveer 2.000 medewerkers op de locatie; dit ligt eenduidig in het segment 50+. Eerder gevonden afwijkende cijfers veranderen dit niet: circa 1.400 betreft heel Nederland en valt af op meetniveau, circa 2.100 komt uit een C-bron en wijst dezelfde kant op. Geen algemeen e-mailadres gepubliceerd, alleen een adres voor orderverwerking. Naast het NL-domein bestaat ook een .com-domein."
L0002,Elpress B.V.,Onbekend,Niet gevonden,27160774,elpress.com,https://www.elpress.com,Boxmeer,5831 AV,Handelstraat 21,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Onbekend,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,sales@elpress.com,+31 485 51 69 69,https://www.elpress.com/contact,nog niet gecontroleerd,,15-09-2026,"Geen enkel publiek medewerkersgegeven gevonden. Datagat, geen tegenstrijdigheid. KVK-nummer en adres bevestigd op de eigen contactpagina. sales@ is het enige gepubliceerde algemene adres."
L0003,Hendrix Genetics B.V.,Onbekend,Niet gevonden,13029510,hendrix-genetics.com,https://www.hendrix-genetics.com,Boxmeer,5831 CK,Spoorstraat 69,Onbekend,21 tot 50,https://www.oozo.nl/bedrijven/boxmeer/boxmeer/bakelgeert-noord/27100/hendrix-genetics-b-v,C,Onbekend,Actualiteit onduidelijk,Entiteit,Werkzame personen,niet nodig,,onbekend,nog niet te bepalen,info@hendrix-genetics.com,+31 485 801 911,https://www.hendrix-genetics.com/en/about/contact/ en https://dutchpoultrycentre.nl/en/preferred-partners/breeding-hatching/hendrix-genetics,nog niet gecontroleerd,,15-09-2026,"Alleen een C-bron, die bovendien de entiteit betreft en niet de locatie. De klasse 21 tot 50 bevat waarden onder 50 en de waarde 50 zelf, dus ook bij een sterkere bron zou dit een grensgeval blijven. Op hetzelfde adres staan meerdere groepsentiteiten en er is geen bron die het totaal voor de locatie noemt. E-mailadres komt van een derde partij en is niet op de eigen site bevestigd."
L0004,Installatiebedrijf van Paridon B.V.,Onbekend,Niet gevonden,16035887,paridon-mas.nl,http://www.paridon-mas.nl,Boxmeer,5831 MS,Merel 5,10,10 tot 19,https://cvketel-gids.nl/boxmeer/installatiebedrijf-van-paridon-b-v/,C,Onbekend,Actualiteit onduidelijk,Vestiging,Werkzame personen,niet nodig,,onbekend,nog niet te bepalen,info@paridon-mas.nl,0485 57 83 83,http://www.paridon-mas.nl/contact.html,nog niet gecontroleerd,,15-09-2026,"Alleen een C-bron. Dezelfde bron noemt zowel 10 werknemers als de klasse 10 tot 19, beide volledig in het bereik 49 of minder, dus geen tegenstrijdigheid. Bij een A- of B-bron zou dit direct tot nog te bepalen leiden. Het bronniveau is hier het knelpunt, niet de grens."
L0005,Instalplan Advies,Onbekend,Niet gevonden,Niet gevonden,instalplan.nl,https://www.instalplan.nl,Boxmeer,5831 GK,Sambeekseweg 33,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Onbekend,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@instalplan.nl,+31 6 831 95 313,https://www.instalplan.nl/,nog niet gecontroleerd,,15-09-2026,"Geen KVK-nummer en geen medewerkersgegeven gevonden. Contactgegevens komen rechtstreeks van de eigen website. Telefoonnummer is een mobiel nummer, maar staat als zakelijk contactnummer op de site."
L0006,aaff kantoor Boxmeer,aaff,https://www.aaff.nl/en/locations/boxmeer en https://www.aaff.nl/werken-bij-aaff/over-ons,Niet gevonden,aaff.nl,https://www.aaff.nl,Boxmeer,5831 PJ,Akkerdistel 4,Circa 2000,Niet gevonden,https://www.aaff.nl/werken-bij-aaff/over-ons,A,Onbekend,Actueel/live,Organisatie,Onbekend,niet nodig,,50+,nog niet te bepalen,info@aaff.nl,+31 485 572120,https://www.aaff.nl/en/locations/boxmeer,nog niet gecontroleerd,,15-09-2026,"Aantal gebaseerd op de eigen werken-bij-pagina, die spreekt over circa 2000 collega's verspreid over 50 kantoren in Nederland. De bron maakt niet expliciet duidelijk of dit werkzame personen/headcount of fte betreft, daarom staat Eenheid medewerkers op Onbekend. De formulering verwijst wel duidelijk naar personen en het genoemde aantal ligt boven de grens van 50, waardoor segment 50+ volgens de vastgestelde regel mag worden toegekend. Het jaarverslag 2025 noemt 1723 co-eigenaren; dit cijfer is niet als medewerkersaantal gebruikt. Adres, telefoonnummer en e-mailadres komen van de eigen locatiepagina. Het e-mailadres is organisatiebreed en niet vestigingsspecifiek. KVK-nummer van de entiteit achter deze vestiging is niet vastgesteld."
L0007,Mezzo Elzendaal Boxmeer,Mezzo Scholen voor vwo havo en vmbo,DUO vestigingen VO — data/duo/vestigingen_vo.csv,Niet gevonden,elzendaalcollege.nl,https://www.elzendaalcollege.nl,Boxmeer,5831 CW,Bilderbeekstraat 27,440,Niet gevonden,DUO Onderwijspersoneel VO in aantal personen 2011-2025 — data/duo/onderwijspersoneel_vo_personen_2011_2025.xlsx,B,01-10-2025,Expliciet gedateerd,Organisatie,Werkzame personen,niet nodig,,50+,nog niet te bepalen,info@elzendaalcollege.nl,0485-572032,https://schoolkeuzehulp.nl/middelbare-school/elzendaalcollege-boxmeer/ en https://www.dekonnectkever.nl/organisatie/elzendaalcollege-boxmeer/,nog niet gecontroleerd,,15-09-2026,"Onderwijsregel toegepast: Organisatienaam is vastgesteld op BRIN-niveau via de DUO-lookup (python scripts/duo_onderwijs_lookup.py 17HN). Officiële instelling: Mezzo Scholen voor vwo havo en vmbo. Bevoegd gezag: Ons Middelbaar Onderwijs, bestuursnummer 41211. DUO PERSONEN 2025 = 440 op instellingsniveau, peildatum 1 oktober 2025. Dit totaal geldt voor alle vier vestigingen onder BRIN 17HN samen (Boxmeer x3, Gennep x1) en niet alleen voor de fysieke locatie Bilderbeekstraat 27. Segment = 50+. KVK-nummer blijft ongewijzigd / Niet gevonden."
L0008,SPGPrints B.V. Boxmeer,Onbekend,https://companyinfo.nl/organisatieprofiel/drukkerijen-van-dagbladen/spgprints-boxmeer-16032034-000018930794,16032034,spgprints.com,https://www.spgprints.com,Boxmeer,5831 AT,Raamstraat 1-3,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Onbekend,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,Niet gevonden,+31 485 599 555,https://www.spgprints.com/contact,nog niet gecontroleerd,,15-09-2026,Organisatiestructuur onzeker. KVK-gegevens noemen Print I B.V. als eigenaar van SPGPrints B.V. en daarnaast bestaat de naam SPGPrints Group met buitenlandse vestigingen. Niet vastgesteld welk niveau de canonieke Organisatie voor de 50-grens is. De eigen site noemt Raamstraat 1-3 en de KVK-registratie Raamstraat 3; het adres van de eigen site is aangehouden. Geen algemeen e-mailadres gevonden. Circulerende medewerkersaantallen uit niveau D-bronnen zijn niet gebruikt.
L0009,Bibliotheek Boxmeer / hoofdkantoor BiblioPlus,Stichting BiblioPlus,https://www.biblioplus.nl/overons/over-biblioplus.html en https://www.biblioplus.nl/klantenservice/contact.html,17169778,biblioplus.nl,https://www.biblioplus.nl,Boxmeer,5831 KC,De Raetsingel 1,51,Niet gevonden,https://www.biblioplus.nl/overons/over-biblioplus.html,A,Onbekend,Actueel/live,Organisatie,Onbekend,niet nodig,,50+,nog niet te bepalen,info@biblioplus.nl,+31 (0)485 583 500,https://www.biblioplus.nl/klantenservice/contact.html,nog niet gecontroleerd,,15-09-2026,"De eigen pagina meldt in de huidige tekst 51 medewerkers en meer dan 560 vrijwilligers. Oudere of externe weergaven noemen 35 of 37 medewerkers, maar die zijn niet als actuele onafhankelijke bron gebruikt. Vrijwilligers zijn niet meegeteld. De bron noemt medewerkers maar maakt niet expliciet duidelijk of dit headcount of fte betreft; daarom staat Eenheid medewerkers op Onbekend. Omdat het genoemde aantal personen 50 of meer is, is segment 50+ toegestaan volgens de vastgestelde regel. Boxmeer is het hoofdkantoor in De Weijer."
L0010,"Sociom, locatie De Weijer Boxmeer",Sociom,https://sociom.nl/over-ons/ en https://sociom.nl/locaties/,Niet gevonden,sociom.nl,https://sociom.nl,Boxmeer,5831 KC,De Raetsingel 1,Onbekend,Niet gevonden,Niet gevonden,Onbekend,Onbekend,Actualiteit onduidelijk,Onbekend,Onbekend,niet nodig,,onbekend,nog niet te bepalen,info@sociom.nl,0485-700 500,https://sociom.nl/locaties/,nog niet gecontroleerd,,15-09-2026,"Geen bruikbaar medewerkersgegeven gevonden na toepassing van de vastgestelde stopregel. Ontbrekende data zijn op zichzelf geen reden voor handmatige beoordeling. Sociom werkt in Land van Cuijk en West Maas en Waal met meerdere locaties, waarvan De Weijer in Boxmeer er één is. Eén externe bron noemt De Raetsingel 5; het adres van de eigen site is aangehouden."
